App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Reflectly - Journal & AI Diary,iOS,1241229134,9539412428,USA,4.8.1,5,2023-01-23,bram.06,great app,a great app for me to self reflect & put my thoughts into it.,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3087322529/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9535164627,USA,4.8.1,4,2023-01-22,Meow1117,So far so good,I’ve used other journaling apps and this one if user friendly without paying for a full version. The free version of this is definitely worth the time to download and use.,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3086206815/reply,"[""Design & UX"", ""Payment"", ""Pricing"", ""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9533391234,USA,4.8.1,5,2023-01-22,Xenosole,Really helpful,I have a hard time thinking of the what to write in my journal. This is a really clever way to prompt you to write. I've found it helpful when tracking my moods and figuring out why I felt the way I did at certain times. Good or bad. Ive been using it daily.,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3086206816/reply,"[""Frequency"", ""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9533204451,USA,4.8.1,5,2023-01-22,ksmsjjedm,Has helped me,This app has helped me so much to focus on myself!,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3086206817/reply,[],[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9534890864,United Kingdom,4.8.1,5,2023-01-22,Kay <3 🇬🇭,AMAZING,"Ok but the amount that I love this app should be punishable 😭😭. I really like the daily challenges bc it just inspires me to do things that need to be done even if i don't want to. For example, today’s was ‘replace ‘i have to’ with ‘i get to’’ which made me do things i would never do by choice. I also never stick to physical bullet journaling and waste a notebook so now, i can use this because we all know that we are always on our phones 😂😂",,,mixed,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3086206918/reply,"[""Frequency"", ""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9532257642,USA,4.8.1,5,2023-01-21,Haelstorm5,Great App!,I love this app! There aren’t any adds that randomly pop up and it really feels personal. Great job app developers! Don’t change anything!,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3085519947/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9531203651,USA,4.8.1,4,2023-01-21,user: ricebutton,i like it,it’s good,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3085519950/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9530296254,USA,4.8.1,5,2023-01-21,Danniella Baker 💃🏻🚗✨,Wow! 🤩,"Ok this is 100% worth it! When I first downloaded this I thought that this would be like the other ones, NO!!!! Just 1 month later my parents noticed my mood was way better. 2 months later, I want to do things I never wanted to do. 3 months later, whole new person, changed lifestyle, actually believes! If you need a boost in mood or you are in a bad place this is the app you need!",,,mixed,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3085519952/reply,"[""Pricing"", ""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9529814849,USA,4.8.1,5,2023-01-21,Georgiaeno22,AMAZING,Really nice to reflect on my day!,,,positive,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3085519955/reply,"[""Satisfied users""]",[],[]
Reflectly - Journal & AI Diary,iOS,1241229134,9529732549,Ukraine,4.8.1,1,2023-01-21,Angry user555,-,Couldn’t cancel subscription… tricky guys..,,,negative,,English,,https://app.appbot.co/apps/1526549-reflectly-journal-ai-diary/reviews/3085520520/reply,"[""Pricing""]",[],[]
